openalex_id,title,community_id,is_a_inter,is_a_inter_top_paths,is_a_inter_institution_paths,bridge_freq_top,bridge_freq_institutions,bridge_freq_total,bridge_fraction_top,bridge_fraction_institutions,pagerank,authority,hub,approx_betweenness_path_subgraph,eigenvector_path_subgraph,harmonic_to_unicamp_sampled,harmonic_to_top_tier_sampled,bridge_proximity,is_unicamp,is_top_tier,is_important_institution
W2145087641,Grace,16,True,True,False,1,0,1,2.6904864399483427e-05,0.0,1.542791463335998e-05,3.611335252632534e-08,2.8307948097027045e-07,0.0,2.5734964442789436e-05,0.17839781746031738,0.26158854166666656,0.6022146624324661,False,False,False
W2145094598,Stacked Denoising Autoencoders: Learning Useful Representations in a Deep Network with a Local Denoising Criterion,0,True,True,False,7,0,7,0.000188334050796384,0.0,0.00016738166984497916,0.0010697663693222841,2.3074297782654657e-05,0.00015037141280106072,0.012195328154112627,0.21985987103174595,0.38593750000000016,0.8120423373447776,False,False,False
W2145113795,"Particle swarm optimization: developments, applications and resources",4,True,True,True,25,11,36,0.0006726216099870857,0.00015400985663082436,2.2345625900627632e-05,4.459660319261501e-07,5.976649020192415e-07,0.0,4.1072158280204836e-05,0.18078835227272716,0.2817708333333333,0.6291880129154082,False,False,False
W2145121041,Graph-Based Multiplayer Detection and Tracking in Broadcast Soccer Videos,1,True,False,True,0,1,1,0.0,1.400089605734767e-05,1.5364127037213923e-05,1.2095682993358855e-06,2.77773557906909e-07,0.0,5.3288868454801225e-05,0.1802985209235208,0.2796874999999998,0.6260078929677347,False,False,False
W2145123272,Strong normalization for second order classical natural deduction,20,True,False,True,0,3,3,0.0,4.2002688172043014e-05,1.594884640727384e-05,7.407418288688496e-11,5.981299494680036e-11,0.0,3.4757670901933427e-09,0.12409502389971125,0.1624844990079365,0.3958497270875954,False,False,False
W2145195491,Using a Visual Discrimination Model for the Detection of Compression Artifacts in Virtual Pathology Images,9,True,False,True,0,1,1,0.0,1.400089605734767e-05,7.1809835031107245e-06,9.449289397974957e-08,2.9929660995592445e-06,0.0,0.00013468835282187813,0.16680955762987001,0.25684523809523785,0.5770233967509436,False,False,False
W2145227859,An Integrated Model of Top-Down and Bottom-Up Attention for Optimizing Detection Speed,0,True,True,False,2,0,2,5.3809728798966854e-05,0.0,1.2664567810428483e-05,4.316124034415519e-05,3.342206111601317e-06,1.4164840976051976e-05,0.0010335575932920878,0.17938988095238084,0.3009114583333334,0.647687524701836,False,False,False
W2145285494,Reconciling specialization and flexibility through compound circuits,16,True,True,True,56,203,259,0.001506672406371072,0.002842181899641577,9.780619023683164e-06,3.0799468492096226e-05,3.748196715660397e-10,3.034352171713356e-05,0.0006448021916399628,0.1674758184523808,0.25651041666666646,0.5777976298310603,False,False,False
W2145287260,DeepFace: Closing the Gap to Human-Level Performance in Face Verification,0,True,True,True,82,1,83,0.002206198880757641,1.400089605734767e-05,0.000211528959645619,0.003163598205714398,0.0001480599184435427,0.0003108013924298599,0.0383684020170601,0.21567460317460305,0.390104166666667,0.8086060694014843,False,False,False
W2145310492,Facial expression recognition based on Local Binary Patterns: A comprehensive study,1,True,True,False,1,0,1,2.6904864399483427e-05,0.0,4.114254012886587e-05,0.00010832051718969258,1.158973252930419e-05,0.0,0.0010400894964492995,0.2035621279761904,0.3335937500000002,0.7264481837670578,False,False,False
